player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Pat Connaughton,connapa01,2022,RS,MIL,3584,1691,1.034477157471758,.8121858907195733,1.846663048191331,-1.428933611736827,-3.123697811072169,-4.552631422808996,.5493705245231755,.0268713172786341,.5762418418018096,2.854444538737393,2.854444538737393,0,.6078509793187347,.1825016875803163,.790352666899051,-.531937570982005
Tyler Cook,cookty01,2022,RS,CHI,421,200,-4.357987954542832,-.3906205921325016,-4.748608546675333,-3.0754592607499,-3.57097696712565,-6.64643622787555,-4.356947724867783,-1.051739104904279,-5.408686829772062,-.2706852808476066,-.2706852808476066,0,-4.690168195536244,-.8940637292902152,-5.584231924826459,-.2237956833568624
Sharife Cooper,coopesh01,2022,RS,ATL,86,39,-15.04426308002787,-5.724757664086544,-20.76902074411441,-26.45822548559103,-.2600944601090786,-26.71831994570011,-18.41565426727142,-4.918782844186504,-23.33443711145793,-.4110506602533198,-.4110506602533198,0,-15.02520603338101,-7.921532205221143,-22.94673823860215,.3578474608175802
Petr Cornelie,cornepe01,2022,RS,DEN,87,38,-6.783566415266222,-2.169447483275296,-8.953013898541517,-3.941704242590333,5.433978828484279,1.492274585893946,-6.614601209747846,-.6818533889086135,-7.296454598656459,-.0909541642861135,-.0909541642861135,0,-3.671481877632304,-3.337438241923464,-7.008920119555768,3.187255940204351
DeMarcus Cousins,couside01,2022,PO,DEN,113,57,10.81101263017878,6.991018131024308,17.80203076120309,8.468763796805858,-4.519344624808927,3.949419171996931,10.97645900658205,5.104630550730947,16.08108955731299,.5570224322908989,0,.5570224322908989,10.84202557653281,1.970357319818719,12.81238289635153,-1.341038842693377
DeMarcus Cousins,couside01,2022,RS,DEN,900,431,-1.83628050188862,2.197672278408956,.3613917765203365,-.5639449626065841,-3.239819407628004,-3.803764370234588,-1.803483411101885,1.164935324826822,-.6385480862750632,.4741926002692436,.4741926002692436,0,-1.180598760911302,.4915547882021368,-.6890439727091655,2.130654003915998
DeMarcus Cousins,couside01,2022,RS,MIL,606,287,1.853568405732101,3.162376595701945,5.015945001434046,4.977990981366028,.2843973810550908,5.262388362421119,2.583383434493358,2.762283386390949,5.345666820884306,1.205496626457658,1.205496626457658,0,3.749391034282851,2.897825707593046,6.647216741875898,1.693039822460855
Robert Covington,covinro01,2022,RS,POR,2966,1431,-2.317939435482766,2.856066764695459,.5381273292126929,-.5792397523863311,1.759893085283648,1.180653332897317,-2.086671545412722,2.870083197374138,.783411651961416,2.589440987875094,2.589440987875094,0,-.9571006472136855,2.806694593694547,1.849593946480862,.3764287309342659
Robert Covington,covinro01,2022,RS,LAC,1064,509,2.450475287230468,1.950847469046571,4.401322756277039,4.542329587789373,1.698206090614426,6.240535678403799,3.055329329650879,2.003341658273145,5.058670987924025,2.039000233011746,2.039000233011746,0,2.936056828947114,2.911810599187452,5.847867428134566,.5499785803871874
Torrey Craig,craigto01,2022,PO,PHO,149,69,.4683724133740061,-3.791133940965871,-3.322761527591865,-6.621872638841208,-2.733547488560135,-9.355420127401343,-1.019564043320122,-3.744477265892521,-4.764041309212644,-.0740081362112991,0,-.0740081362112991,-2.951166880085764,-4.543189212416604,-7.494356092502368,1.174324184771286
